System,River,ReturnYear,Predicted_TotalReturn
Bristol Bay,Alagnak,2021,NA
Bristol Bay,Alagnak,2022,NA
Bristol Bay,Alagnak,2023,NA
Bristol Bay,Alagnak,2024,NA
Bristol Bay,Alagnak,2025,NA
Bristol Bay,Egegik,2021,NA
Bristol Bay,Egegik,2022,NA
Bristol Bay,Egegik,2023,NA
Bristol Bay,Egegik,2024,NA
Bristol Bay,Egegik,2025,NA
Bristol Bay,Igushik,2021,NA
Bristol Bay,Igushik,2022,NA
Bristol Bay,Igushik,2023,NA
Bristol Bay,Igushik,2024,NA
Bristol Bay,Igushik,2025,NA
Bristol Bay,Kvichak,2021,NA
Bristol Bay,Kvichak,2022,NA
Bristol Bay,Kvichak,2023,NA
Bristol Bay,Kvichak,2024,NA
Bristol Bay,Kvichak,2025,NA
Bristol Bay,Naknek,2021,NA
Bristol Bay,Naknek,2022,NA
Bristol Bay,Naknek,2023,NA
Bristol Bay,Naknek,2024,NA
Bristol Bay,Naknek,2025,NA
Bristol Bay,Nushagak,2021,NA
Bristol Bay,Nushagak,2022,NA
Bristol Bay,Nushagak,2023,NA
Bristol Bay,Nushagak,2024,NA
Bristol Bay,Nushagak,2025,NA
Bristol Bay,Ugashik,2021,NA
Bristol Bay,Ugashik,2022,NA
Bristol Bay,Ugashik,2023,NA
Bristol Bay,Ugashik,2024,NA
Bristol Bay,Wood,2021,NA
Bristol Bay,Wood,2022,NA
Bristol Bay,Wood,2023,NA
Bristol Bay,Wood,2024,NA
Bristol Bay,Wood,2025,NA
