System,River,ReturnYear,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4
Bristol Bay,Alagnak,1963,378138.28,0,0,0,0,0,0,331299.99,13119.73,0,0,0,20219.16,13499.4,0,0,0,0,0
Bristol Bay,Alagnak,1964,759383.05,0,0,0,0,0,4468.52,121361.34,338122.23,0,0,0,286853.66,8577.3,0,0,0,0,0
Bristol Bay,Alagnak,1965,397860.61,0,0,727.07,0,0,11965.31,50293.25,116448.34,0,0,0,166914.94,50738.89,0,0,772.8,0,0
Bristol Bay,Alagnak,1966,394077.16,0,0,0,0,0,0,110266.24,232930.74,0,0,0,6138.96,43428.89,0,0,0,1312.32,0
Bristol Bay,Alagnak,1967,344305.59,0,0,0,0,0,6377.3,231001.91,104885.03,0,0,415.02,1626.33,0,0,0,0,0,0
Bristol Bay,Alagnak,1968,314033.56,0,0,0,0,0,8480.04,97650.42,151684.16,0,0,1880.28,30953.02,22573.02,0,0,812.61,0,0
Bristol Bay,Alagnak,1969,324288.96,0,0,0,0,0,9662.47,110322.96,90731.09,0,0,509.93,112243.3,819.21,0,0,0,0,0
Bristol Bay,Alagnak,1970,500779.51,0,0,0,0,0,5829.78,304544.09,88347.85,0,0,0,29040.27,73017.51,0,0,0,0,0
Bristol Bay,Alagnak,1971,537293.52,0,410.64,461.17,0,0,8143.46,260360.13,229247.62,5497.06,0,2325.19,13317.46,17530.8,0,0,0,0,0
Bristol Bay,Alagnak,1972,302589.31,0,0,0,0,0,0,182414.45,52163.07,0,0,0,59199.57,8812.23,0,0,0,0,0
Bristol Bay,Alagnak,1973,63552.97,0,0,0,0,0,0,1353.56,52504.17,0,0,0,685.37,9009.87,0,0,0,0,0
Bristol Bay,Alagnak,1974,247579.73,0,0,0,0,0,1232.55,78027.48,54756.53,2129.57,0,0,108529.17,2904.43,0,0,0,0,0
Bristol Bay,Alagnak,1975,112656.7,0,0,0,0,0,1462.13,28837.92,58491.2,0,0,0,8320.09,15545.36,0,0,0,0,0
Bristol Bay,Alagnak,1976,157449.67,0,0,0,0,0,0,70319.72,56203.8,0,0,0,30123.17,802.98,0,0,0,0,0
Bristol Bay,Alagnak,1977,234915.33,0,0,0,0,0,0,0,27572.16,0,0,0,0,207343.17,0,0,0,0,0
Bristol Bay,Alagnak,1978,1110702.15,0,0,1910.67,3098.55,0,0,722581.36,6686.64,0,0,0,350599.52,0,0,0,24813.55,1011.87,0
Bristol Bay,Alagnak,1979,1620186.94,0,0,0,0,0,0,0,0,1377.89,0,0,1551297.18,0,0,0,67511.86,0,0
Bristol Bay,Alagnak,1980,855660.86,0,0.01,77257.47,0,0,163393.68,0.01,467274.99,1866.98,0,1.46,0.02,0.21,0,62200.61,0.14,83665.27,0
Bristol Bay,Alagnak,1981,667234.7,0,0,3286.81,0,0,0,0,157897.42,0,0,0,0,492798.4,0,0,0,13252.07,0
Bristol Bay,Alagnak,1982,1345575.82,0,0,0,0,0,0,561752.38,689174.64,0,0,0,0,94648.8,0,0,0,0,0
Bristol Bay,Alagnak,1983,2664575.18,0,0,1044.82,0,0,0,947783.06,1026219.17,0,0,16623.34,512955.09,145046.23,14903.46,0,0,0,0
Bristol Bay,Alagnak,1984,1193249.44,0,0,4639.56,0,0,0,0,81154.76,15371.06,0,0,1047576.63,0,0,0,42749.69,1757.74,0
Bristol Bay,Alagnak,1985,843580.11,0,0,0,0,0,0,174414.66,368591.13,14173.23,0,0,269864.31,0,16536.78,0,0,0,0
Bristol Bay,Alagnak,1986,1020938.71,0,0,6006.85,0,0,6508.43,0,1008291.55,0,0,0,0,0,131.89,0,0,0,0
Bristol Bay,Alagnak,1987,780737.32,0,560.96,12695.21,0,0,0,0,767481.15,0,0,0,0,0,0,0,0,0,0
Bristol Bay,Alagnak,1988,851134.6,0,0,6532.23,0,0,6814.91,403722.29,434065.17,0,0,0,0,0,0,0,0,0,0
Bristol Bay,Alagnak,1989,1379369.77,0,0,39050.6,1631.85,0,0,86570.43,1250869.73,0,0,0,0,1247.16,0,0,0,0,0
Bristol Bay,Alagnak,1990,1591425.19,0,0,0,0,0,0,0,792074.18,25116.48,0,0,0,772146.24,0,0,0,2088.29,0
Bristol Bay,Alagnak,1991,1684654.87,0,0,0,2446.31,0,0,0,954824.08,0,0,0,0,720017.36,4441.25,0,0,2925.87,0
Bristol Bay,Alagnak,1992,1461638.59,0,0,0,0,0,0,0,394531.99,0,0,0,0,1066241.37,0,0,0,865.22,0
Bristol Bay,Alagnak,1993,2451734.91,0,0,0,0,0,100366.26,712704.84,638576.41,0,0,0,615410.94,374484.41,0,0,1392.63,8799.43,0
