System,River,ReturnYear,Predicted_TotalReturn
Fraser River,Late Stuart,2021,NA
Fraser River,Late Stuart,2022,NA
Fraser River,Late Stuart,2023,NA
Fraser River,Late Stuart,2024,NA
Fraser River,Late Stuart,2025,NA
Fraser River,Stellako,2021,NA
Fraser River,Stellako,2022,NA
Fraser River,Stellako,2023,NA
Fraser River,Stellako,2024,NA
Fraser River,Stellako,2025,NA
Fraser River,Raft,2021,NA
Fraser River,Raft,2022,NA
Fraser River,Raft,2023,NA
Fraser River,Raft,2024,NA
Fraser River,Raft,2025,NA
Fraser River,Quesnel,2021,NA
Fraser River,Quesnel,2022,NA
Fraser River,Quesnel,2023,NA
Fraser River,Quesnel,2024,NA
Fraser River,Quesnel,2025,NA
Fraser River,Chilko,2021,NA
Fraser River,Chilko,2022,NA
Fraser River,Chilko,2023,NA
Fraser River,Chilko,2024,NA
Fraser River,Chilko,2025,NA
