System,River,ReturnYear,Total_Returns,Label,ReturnsByAgeClass,Age,FW_Winters,Mar_Winters,Euro,GR,GRShort,BroodYear,RecruitsByAgeClass,MarineEntryYear,Total_Recruits,PercOfBrdYr,Total_Spawners_BroodYear,TotRecPerTotSpn
Fraser River,Chilko,1950,NA,AgeClass_1.5,NA,7,1,5,1.5,7_2,72,1943,NA,1945,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_1.4,NA,6,1,4,1.4,6_2,62,1944,NA,1946,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_2.3,NA,6,2,3,2.3,6_3,63,1944,NA,1947,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_3.2,NA,6,3,2,3.2,6_4,64,1944,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_0.4,NA,5,0,4,0.4,5_1,51,1945,NA,1946,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_1.3,NA,5,1,3,1.3,5_2,52,1945,NA,1947,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_2.2,0,5,2,2,2.2,5_3,53,1945,0,1948,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_0.3,NA,4,0,3,0.3,4_1,41,1946,NA,1947,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_1.2,NA,4,1,2,1.2,4_2,42,1946,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_2.1,NA,4,2,1,2.1,4_3,43,1946,NA,1949,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_0.2,NA,3,0,2,0.2,3_1,31,1947,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_1.1,0,3,1,1,1.1,3_2,32,1947,0,1949,NA,NA,NA,NA
Fraser River,Chilko,1950,NA,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1948,0,1949,1947973,0,671025,2.903
Fraser River,Chilko,1951,NA,AgeClass_1.5,NA,7,1,5,1.5,7_2,72,1944,NA,1946,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_1.4,NA,6,1,4,1.4,6_2,62,1945,NA,1947,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_2.3,NA,6,2,3,2.3,6_3,63,1945,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_3.2,NA,6,3,2,3.2,6_4,64,1945,NA,1949,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_0.4,NA,5,0,4,0.4,5_1,51,1946,NA,1947,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_1.3,NA,5,1,3,1.3,5_2,52,1946,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_2.2,0,5,2,2,2.2,5_3,53,1946,0,1949,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_0.3,NA,4,0,3,0.3,4_1,41,1947,NA,1948,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_1.2,NA,4,1,2,1.2,4_2,42,1947,NA,1949,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_2.1,NA,4,2,1,2.1,4_3,43,1947,NA,1950,NA,NA,NA,NA
Fraser River,Chilko,1951,NA,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1948,0,1949,1947973,0,671025,2.903
Fraser River,Chilko,1951,NA,AgeClass_1.1,32000,3,1,1,1.1,3_2,32,1948,32000,1950,1947973,1.64,671025,2.903
Fraser River,Chilko,1951,NA,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1949,0,1950,623138,0,58310,10.687
Fraser River,Chilko,1952,NA,AgeClass_1.5,NA,7,1,5,1.5,7_2,72,1945,NA,1947,NA,NA,NA,NA
